algoritmo,tipo_entrada,n,repeticoes,tempo_medio,tempo_minimo,tempo_maximo,desvio_tempo,comparacoes,trocas,movimentacoes
Bubble Sort,inversa,50000,3,509.5294736333405,501.83369140001014,515.098004200001,5.62016596753824,1249975000.0,1249975000.0,2499950000.0
Bubble Sort,inversa,100000,3,2288.8646503000055,2232.7449415000156,2339.7382849999995,43.837083680550435,4999950000.0,4999950000.0,9999900000.0
Bubble Sort,parcialmente_ordenada,100,3,0.0005872333325290432,0.0004842999915126711,0.000753700005589053,0.00011880363380108665,4638.666666666667,523.3333333333334,1046.6666666666667
Bubble Sort,parcialmente_ordenada,500,3,0.017374533335290227,0.016000399977201596,0.018203500017989427,0.0009785422748136508,119517.66666666667,14267.0,28534.0
Bubble Sort,parcialmente_ordenada,1000,3,0.0889008000085596,0.08311999999568798,0.09958560002269223,0.0075637692575239515,494512.0,56160.0,112320.0
Bubble Sort,parcialmente_ordenada,5000,3,2.30705663333841,2.2263203999900725,2.4603539000090677,0.1084489048673382,12468250.666666666,1433328.0,2866656.0
Bubble Sort,parcialmente_ordenada,10000,3,10.080857233328667,9.683032400003867,10.37102779999259,0.2910057255440506,49959748.666666664,5750635.333333333,11501270.666666666
Bubble Sort,parcialmente_ordenada,50000,3,232.11966980000338,223.94390899999416,241.73430860001827,7.333819237219205,1249510916.3333333,144897864.0,289795728.0
Bubble Sort,parcialmente_ordenada,100000,3,928.4807542333438,912.888351200003,951.4435710000107,16.580480338981527,4999578767.666667,575634505.6666666,1151269011.3333333
Insertion Sort,aleatoria,100,3,0.0005063666612841189,0.0004430999979376793,0.0005500999977812171,4.581421275093333e-05,2386.0,0.0,2388.3333333333335
Insertion Sort,aleatoria,500,3,0.011878800006040061,0.011653099994873628,0.012048000004142523,0.00016609373445400255,61794.666666666664,0.0,61799.333333333336
Insertion Sort,aleatoria,1000,3,0.051482366679313905,0.04943929999717511,0.052511600020807236,0.0014446799854998416,246478.33333333334,0.0,246484.0
Insertion Sort,aleatoria,5000,3,1.4716455999975249,1.3856727999809664,1.5518944000068586,0.06798028248864497,6252755.0,0.0,6252761.666666667
Insertion Sort,aleatoria,10000,3,5.873240100006417,5.573035100009292,6.107600499992259,0.22314670096556322,24856051.0,0.0,24856058.666666668
Insertion Sort,aleatoria,50000,3,156.7743707000045,151.07543250001618,163.2332480000041,4.992410907883489,625537185.6666666,0.0,625537194.6666666
Insertion Sort,aleatoria,100000,3,690.7962075000008,658.0764448000118,735.0268577999959,32.45218960483265,2502206218.6666665,0.0,2502206227.6666665
Insertion Sort,ordenada,100,3,2.2100003358597558e-05,2.0700012100860476e-05,2.449998282827437e-05,1.704880582389753e-06,99.0,0.0,99.0
