algoritmo,tipo_entrada,n,repeticoes,tempo_medio,tempo_minimo,tempo_maximo,desvio_tempo,comparacoes,trocas,movimentacoes
Insertion Sort,inversa,500,3,0.007566547333378064,0.007473177000065334,0.007624372999998741,6.664645575298799e-05,124750.0,0.0,125249.0
Insertion Sort,inversa,1000,3,0.032348891666515556,0.03223625699956756,0.03247207999993407,9.65631288585994e-05,499500.0,0.0,500499.0
Insertion Sort,inversa,5000,3,0.8604235396666505,0.8475517709998712,0.8674813029997495,0.009115867300064986,12497500.0,0.0,12502499.0
Insertion Sort,inversa,10000,3,3.4812934550000136,3.4426864329998352,3.5397197120000783,0.04201956580269315,49995000.0,0.0,50004999.0
Insertion Sort,parcialmente_ordenada,100,3,3.4005000088654924e-05,3.2281000130751636e-05,3.7195999993855366e-05,2.258815699668717e-06,622.3333333333334,0.0,622.3333333333334
Insertion Sort,parcialmente_ordenada,500,3,0.0009406429999216925,0.0008729020000828314,0.0010273549996782094,6.446630333959612e-05,14766.0,0.0,14766.0
Insertion Sort,parcialmente_ordenada,1000,3,0.003808491666707899,0.0035372389997974096,0.003987710000274092,0.00019507907704862076,57159.0,0.0,57159.0
Insertion Sort,parcialmente_ordenada,5000,3,0.10098340799989576,0.09632939399989482,0.10667582499991113,0.004287257802866057,1438326.3333333333,0.0,1438327.0
Insertion Sort,parcialmente_ordenada,10000,3,0.4029704146666215,0.3974622460000319,0.4058186530000967,0.003895622031670029,5760633.666666667,0.0,5760634.333333333
Merge Sort,aleatoria,100,3,0.00010792266675707651,0.0001007400001071801,0.0001209810002364975,9.2490402052479e-06,540.0,0.0,1344.0
Merge Sort,aleatoria,500,3,0.0006089476667815082,0.0005931010000495007,0.0006256570000005013,1.3304922104324478e-05,3849.0,0.0,8976.0
Merge Sort,aleatoria,1000,3,0.0013792843331733213,0.0013337539999156434,0.0014066029998502927,3.240877245031822e-05,8706.666666666666,0.0,19952.0
Merge Sort,aleatoria,5000,3,0.008401376666824945,0.008219915000154288,0.008587503999933688,0.0001501038407729542,55201.0,0.0,123616.0
Merge Sort,aleatoria,10000,3,0.01785549966674201,0.017782338999950298,0.017898254000101588,5.1977435165707655e-05,120366.66666666667,0.0,267232.0
Merge Sort,aleatoria,50000,3,0.10473009433326297,0.10175346799996987,0.1088639240001612,0.0030159559898584255,718184.6666666666,0.0,1568928.0
Merge Sort,aleatoria,100000,3,0.22357155866651132,0.223310205999951,0.2239724930000193,0.00028782899891636267,1536438.6666666667,0.0,3337856.0
Merge Sort,ordenada,100,3,7.905233330044818e-05,7.549700012532412e-05,8.504499965056311e-05,4.261964999693948e-06,356.0,0.0,1344.0
Merge Sort,ordenada,500,3,0.0004916836666476835,0.0004830070001844433,0.0004991380001229118,6.641930603065344e-06,2272.0,0.0,8976.0
Merge Sort,ordenada,1000,3,0.0010830236666758235,0.0010628080003698415,0.0011173230000167678,2.438214585155646e-05,5044.0,0.0,19952.0
Merge Sort,ordenada,5000,3,0.007107065666635511,0.00690774800023064,0.007312865999665519,0.00016545224304203126,32004.0,0.0,123616.0
Merge Sort,ordenada,10000,3,0.014738312000038908,0.014591483000003791,0.015022647000023426,0.00020109122928793055,69008.0,0.0,267232.0
Merge Sort,ordenada,50000,3,0.08507444233343146,0.0843577919999916,0.08633667600042827,0.0008952621039626314,401952.0,0.0,1568928.0
Merge Sort,ordenada,100000,3,0.17693534999989424,0.17452317800007222,0.18163670199965054,0.0033247370549883094,853904.0,0.0,3337856.0
Merge Sort,inversa,100,3,7.888466658793429e-05,7.620799988217186e-05,8.352299983016565e-05,3.2927605196869675e-06,316.0,0.0,1344.0
Merge Sort,inversa,500,3,0.0005085016667483918,0.0004968700000063109,0.0005271850000099221,1.334277099733234e-05,2216.0,0.0,8976.0
Merge Sort,inversa,1000,3,0.0010990036666953529,0.0010909739999078738,0.0011043919998883212,5.787524700418983e-06,4932.0,0.0,19952.0
Merge Sort,inversa,5000,3,0.006726441000106813,0.00662808800007042,0.006869701000141504,0.00010362332246321383,29804.0,0.0,123616.0
Merge Sort,inversa,10000,3,0.014280115666679194,0.014194671000041126,0.014407666999886715,9.191137947228951e-05,64608.0,0.0,267232.0
Merge Sort,inversa,50000,3,0.08359726033328722,0.08200418700016598,0.08573614199985968,0.0015716874334258926,382512.0,0.0,1568928.0
Merge Sort,inversa,100000,3,0.17284305499985445,0.17110009399993942,0.17433701799973278,0.001333146465603405,815024.0,0.0,3337856.0
Merge Sort,parcialmente_ordenada,100,3,8.393366670134128e-05,8.101399998849956e-05,8.912700013752328e-05,3.6816991667012874e-06,494.3333333333333,0.0,1344.0
Merge Sort,parcialmente_ordenada,500,3,0.0005765603333808637,0.0005642689998239803,0.0005844060001436446,8.801426414761029e-06,3542.0,0.0,8976.0
Merge Sort,parcialmente_ordenada,1000,3,0.0012237150000752688,0.0012123540000175126,0.0012335800001892494,8.729806515476154e-06,8091.666666666667,0.0,19952.0
Merge Sort,parcialmente_ordenada,5000,3,0.007686943666764516,0.0076765670000895625,0.007695909000176471,7.959151463354323e-06,52787.0,0.0,123616.0
Merge Sort,parcialmente_ordenada,10000,3,0.01673553666675313,0.016544201000215253,0.016971015999843075,0.000177020259573718,115475.0,0.0,267232.0
Merge Sort,parcialmente_ordenada,50000,3,0.09506624966676706,0.09489894800026377,0.09517099499998949,0.000119547378725202,692603.0,0.0,1568928.0
Merge Sort,parcialmente_ordenada,100000,3,0.20236333599996215,0.20055921699986357,0.20436241300012625,0.0015587562179390953,1485630.6666666667,0.0,3337856.0
Quick Sort,aleatoria,100,3,7.555800008655449e-05,6.717599990224699e-05,8.487600007356377e-05,7.2562420595028355e-06,727.6666666666666,343.0,686.0
Quick Sort,aleatoria,500,3,0.00048797066680587403,0.0004689739998866571,0.0005011870002817886,1.3771432741996626e-05,4864.0,2243.6666666666665,4487.333333333333
Quick Sort,aleatoria,1000,3,0.0011335440000645274,0.0010968980000143347,0.0011884430000463908,3.953901670161995e-05,11274.666666666666,5388.333333333333,10776.666666666666
Quick Sort,aleatoria,5000,3,0.0069222883333471446,0.006785931999729655,0.007087218000378925,0.00012464787759554558,70305.66666666667,32691.333333333332,65382.666666666664
Quick Sort,aleatoria,10000,3,0.01455181766671861,0.01429815299979964,0.014818927000305848,0.00021281754187907155,148914.66666666666,68706.33333333333,137412.66666666666
Quick Sort,aleatoria,50000,3,0.08656196666682565,0.08340047299998332,0.08836902400025792,0.002243137400536494,893295.0,430993.3333333333,861986.6666666666
Quick Sort,aleatoria,100000,3,0.1847941600000619,0.18319278100034353,0.18661212799997884,0.0014043187131687728,1912179.0,895784.6666666666,1791569.3333333333
Quick Sort,ordenada,100,3,4.697233331777776e-05,4.4999999772699084e-05,5.067100028099958e-05,2.617280012307235e-06,669.0,126.0,252.0
Quick Sort,ordenada,500,3,0.00030753299991677824,0.00029740299987679464,0.00032271600002786727,1.0934245941109186e-05,4263.0,510.0,1020.0
Quick Sort,ordenada,1000,3,0.000695037000089845,0.0006940440002836112,0.0006967939998503425,1.245898966433961e-06,9520.0,1022.0,2044.0
Quick Sort,ordenada,5000,3,0.004522165333431379,0.004415244000028906,0.004663404999973864,0.00010417703350723681,60678.0,5904.0,11808.0
Quick Sort,ordenada,10000,3,0.009488336000079775,0.009339239999917481,0.009628739000163478,0.00011834721225735908,131343.0,11808.0,23616.0
Quick Sort,ordenada,50000,3,0.054979219999950146,0.054898186000173155,0.05508065200001511,7.58749808847501e-05,782782.0,65534.0,131068.0
Quick Sort,ordenada,100000,3,0.11518216066679088,0.11484239299988985,0.11574041700032467,0.0003978397913938562,1665551.0,131070.0,262140.0
Quick Sort,inversa,100,3,7.262866650611007e-05,6.976799977564951e-05,7.830200001990306e-05,4.0117004597199705e-06,851.0,468.0,936.0
Quick Sort,inversa,500,3,0.0006239933334957944,0.0006185810002534708,0.0006336930000543362,6.874060164541481e-06,6843.0,3836.0,7672.0
Quick Sort,inversa,1000,3,0.0015006576666867961,0.001457130000289908,0.001570260999869788,4.973001149702019e-05,15995.0,9084.0,18168.0
Quick Sort,inversa,5000,3,0.010073410000131844,0.010041809000085777,0.010106870000072377,2.6593549847908413e-05,108443.0,62892.0,125784.0
Quick Sort,inversa,10000,3,0.02235711466664725,0.022309608999876218,0.022406596000109857,3.961941441378746e-05,242135.0,140544.0,281088.0
Quick Sort,inversa,50000,3,0.13878244133350867,0.13846121900041908,0.13920902600011686,0.0003142501585177194,1504807.0,881600.0,1763200.0
Quick Sort,inversa,100000,3,0.30191112466688236,0.299340530000336,0.3056469670000297,0.0027032250493519414,3259375.0,1913232.0,3826464.0
Quick Sort,parcialmente_ordenada,100,3,6.0122333252365934e-05,5.3873000069870614e-05,7.168799993451103e-05,8.18702658494557e-06,747.6666666666666,208.0,416.0
Quick Sort,parcialmente_ordenada,500,3,0.00042971533336337114,0.00042457800009287894,0.00043304600012561423,3.6855383182219053e-06,5212.0,1645.0,3290.0
Quick Sort,parcialmente_ordenada,1000,3,0.0010646239999611378,0.000998961999812309,0.0011855769998874166,8.563142162995467e-05,13694.333333333334,3956.6666666666665,7913.333333333333
Quick Sort,parcialmente_ordenada,5000,3,0.0062757183330480375,0.006142999999610765,0.006520735999856697,0.0001734540797582885,79165.0,25040.0,50080.0
Quick Sort,parcialmente_ordenada,10000,3,0.013651994000004683,0.013359710999793606,0.014064057000268804,0.00029976241526235686,175170.0,56657.333333333336,113314.66666666667
Quick Sort,parcialmente_ordenada,50000,3,0.08131714833310373,0.0797019549995639,0.08292616699964128,0.0013162862784478655,1030492.0,358125.3333333333,716250.6666666666
Quick Sort,parcialmente_ordenada,100000,3,0.17293313066663055,0.16862611599981392,0.17865952500005733,0.004217290047730579,2296615.0,734803.6666666666,1469607.3333333333
